drv_age1,vh_age,vh_cyl,vh_din,pol_bonus,vh_sale_begin,vh_sale_end,vh_value,vh_speed,claim_amount,made_claim
54,11,1461,101,0.5,12,10,18950,179,0.0,0
69,7,1461,86,0.5,10,8,17450,174,0.0,0
62,18,2664,125,0.5,19,17,29713,155,0.0,0
44,11,3189,250,0.5,12,8,51383,214,1884.16,1
79,9,998,68,0.5,10,5,9450,157,0.0,0
55,13,1199,75,0.5,15,11,10680,155,0.0,0
85,12,1360,75,0.5,13,11,12750,150,0.0,0
57,8,2231,136,0.5,10,6,25900,195,0.0,0
68,7,1149,75,0.5,10,8,12450,167,0.0,0
66,15,1998,109,0.5,17,12,21300,191,0.0,0
75,5,1598,111,0.5,5,4,22500,185,1308.0,1
52,9,1298,87,0.5,10,6,13100,170,0.0,0
61,11,1951,150,0.5,14,12,33660,216,0.0,0
77,13,1598,108,0.5,16,15,15992,195,0.0,0
68,9,1587,109,0.5,14,12,20150,190,0.0,0
43,13,1896,131,0.5,15,11,26710,208,0.0,0
56,5,1248,70,0.5,11,9,11645,164,0.0,0
60,6,1461,66,0.5,6,5,15850,158,0.0,0
49,25,2497,90,0.5,29,27,28685,165,0.0,0
76,10,1868,70,0.5,13,10,14400,142,0.0,0
58,9,1968,140,0.5,11,7,34890,210,0.0,0
69,18,1171,60,0.5,23,19,10199,155,0.0,0
66,20,1171,60,0.5,24,20,9955,155,0.0,0
59,14,1997,109,0.5,14,13,22000,192,0.0,0
91,17,954,51,0.5,19,17,9590,150,0.0,0
67,12,1360,75,0.5,17,12,11950,170,0.0,0
52,5,1461,86,0.5,5,5,15990,175,0.0,0
56,8,1870,131,0.5,10,9,23750,200,0.0,0
31,20,1905,71,0.51,22,19,14773,162,0.0,0
78,16,1870,55,0.5,18,14,12764,135,0.0,0
55,10,1398,68,0.5,14,10,14500,168,2018.3,1
81,10,1587,109,0.64,13,8,20300,193,0.0,0
74,12,1997,90,0.5,16,10,20750,175,0.0,0
70,12,1997,90,0.5,14,11,18100,179,0.0,0
61,9,1461,68,0.5,10,9,15050,162,0.0,0
54,12,1461,56,0.5,14,11,12319,155,0.0,0
53,6,1997,120,0.5,7,6,33750,180,2835.19,1
74,24,2497,90,0.5,30,27,24719,174,0.0,0
70,16,1598,108,0.5,17,15,16770,195,0.0,0
84,16,1149,59,0.5,17,15,10962,160,0.0,0
80,6,1560,90,0.5,7,4,19800,161,0.0,0
64,7,1242,66,0.5,10,5,13490,155,0.0,0
49,8,1560,109,0.5,11,10,22150,192,0.0,0
40,21,954,45,0.5,23,21,9818,145,0.0,0
59,25,2068,60,0.5,26,20,19627,109,0.0,0
73,11,2184,136,0.5,12,9,29700,180,0.0,0
54,6,1242,70,0.5,7,5,9340,159,0.0,0
73,6,1461,86,0.5,10,8,17450,174,0.0,0
90,9,1461,86,0.5,9,8,18150,171,0.0,0
53,13,2798,146,0.5,14,10,32782,156,0.0,0
85,11,1124,60,0.5,15,12,11450,158,0.0,0
71,10,1149,75,0.5,11,10,13300,170,0.0,0
52,17,1998,130,0.5,18,18,22853,170,0.0,0
58,5,1242,70,0.5,7,5,9340,159,0.0,0
53,15,1390,96,0.5,16,15,15535,185,0.0,0
47,10,2720,208,0.8,11,10,48250,225,0.0,0
68,16,1587,90,0.5,17,15,12562,185,0.0,0
60,7,1398,68,0.5,13,5,18150,158,0.0,0
33,19,1905,93,0.54,22,19,18538,180,0.0,0
60,17,2446,86,0.5,21,13,24341,127,0.0,0
64,5,1390,73,0.5,5,4,10450,162,0.0,0
72,13,1910,111,0.5,13,13,21190,186,0.0,0
83,22,1124,60,0.5,24,21,10519,165,0.0,0
44,11,1997,109,0.5,13,11,22250,183,416.13,1
65,20,1686,60,0.5,22,19,12080,142,0.0,0
51,27,845,29,0.5,33,29,5603,115,0.0,0
64,17,954,51,0.5,19,17,9590,150,0.0,0
82,12,2179,134,0.68,16,11,32050,205,0.0,0
56,13,1587,109,0.5,13,10,19250,182,0.0,0
24,11,1240,81,0.9,12,10,13250,167,0.0,0
43,7,1149,59,0.5,14,12,11250,160,0.0,0
44,17,1299,60,0.5,19,18,10215,155,0.0,0
51,11,1124,60,0.5,13,10,13400,161,0.0,0
42,17,2835,125,0.5,21,17,30155,150,0.0,0
36,6,1560,90,0.5,7,4,19800,161,1308.0,1
50,7,1560,109,0.5,11,7,22300,192,0.0,0
35,23,1769,78,0.54,25,22,13279,175,0.0,0
76,17,1598,75,0.5,17,16,15687,172,0.0,0
72,5,1461,86,0.5,10,8,17450,174,557.42,1
49,10,1968,140,0.72,12,6,32460,207,0.0,0
68,17,2283,75,0.5,17,13,13909,130,0.0,0
74,10,1997,90,0.5,16,10,16200,180,0.0,0
48,5,1390,75,0.5,6,5,9890,161,0.0,0
95,28,845,29,0.5,33,29,5603,115,0.0,0
41,16,2446,79,0.5,20,14,20038,140,0.0,0
66,7,1398,68,0.5,13,13,12900,158,2690.58,1
73,10,1870,120,0.5,13,10,22800,196,0.0,0
43,10,1360,75,0.5,12,10,11600,169,0.0,0
50,5,1560,109,0.5,6,6,24100,185,0.0,0
73,9,1461,86,0.5,10,9,15050,174,0.0,0
